0.0
145.00003625000906
Note,Start,End,Volume
45,1.657327171875,1.799568515625,117
45,1.864223671875,2.178878765625,110
45,2.27155115625,2.592671765625,107
45,2.6810338125,3.0086199375000002,105
45,3.0991371562500003,3.420257765625,117
45,3.5172405,3.8362059375000004,115
45,3.9331886718750004,4.226292046875,111
45,4.3405161562500005,4.640085046875,107
45,4.754309156250001,4.829740171875001,93
45,4.9568953125,5.387929687500001,110
48,5.3706883125000004,5.5862055,115
45,5.575429640625,5.793102,95
48,5.7844813125000005,5.967670921875,115
49,5.99568815625,6.196119140625,105
50,6.198274312500001,6.415946671875,106
43,6.405170812500001,6.747843140625,118
43,6.82327415625,6.926722406250001,98
43,7.025860312500001,7.25430853125,104
45,7.232756812500001,7.471980890625001,112
48,7.44396365625,7.862067000000001,112
45,7.853446312500001,8.278015171875001,120
43,8.265084140625001,8.530170281250001,115
45,8.4827565,8.6465495625,122
43,9.09913565625,9.318963187500001,120
45,9.3017218125,9.560342437500001,112
45,10.13361815625,10.2844801875,122
45,10.34051465625,10.437497390625001,88
45,10.5431008125,10.765083515625001,107
50,10.749997312500001,11.163790312500002,117
45,11.161635140625,11.46120403125,115
45,11.5775833125,11.73706603125,99
45,11.7844798125,12.09913490625,107
45,12.1982728125,12.506462390625002,100
45,12.612065812500001,12.933186421875002,105
45,13.03016915625,13.34482425,111
45,13.44396215625,13.765082765625001,105
45,13.85775515625,14.17241025,104
45,14.27154815625,14.564651531250002,104
45,14.681030812500001,14.7499963125,96
45,14.8879273125,15.327582375,112
48,15.3017203125,15.519392671875002,100
45,15.51292715625,15.709047796875002,108
48,15.7155133125,15.903013265625,112
49,15.922409812500002,16.105599421875002,101
50,16.127151140625,16.362064875,98
43,16.3362028125,16.685340656250002,117
43,16.75430615625,16.851288890625,105
43,16.961202656250002,17.191806046875,108
45,17.16809915625,17.403012890625,107
48,17.37499565625,17.788788656250002,111
45,17.788788656250002,18.226288546875,120
43,18.1982713125,18.42671953125,117
45,18.40947815625,18.605598796875,124
43,19.03016765625,19.267236562500003,114
45,19.23706415625,19.465512375,114
45,20.06465015625,20.213357015625,122
45,20.2672363125,20.385770765625,89
45,20.474132812500002,20.691805171875,100
50,20.68533965625,21.11637403125,127
45,21.0948223125,21.3879256875,118
50,21.506460140625002,21.640080796875,110
50,21.71982215625,21.9741324375,114
57,22.133615156250002,22.254304781250003,76
57,22.34051165625,22.536632296875002,94
62,22.553873671875003,22.915942546875,113
54,22.967666671875,23.312494171875002,104
55,23.381459671875003,23.471976890625,95
55,23.592666515625,23.7499940625,99
56,23.795252671875,23.989218140625002,124
57,23.99568365625,24.161631890625003,118
45,24.196114640625,24.437493890625003,111
50,24.4051663125,24.609907640625,106
52,24.609907640625,24.834045515625,107
45,24.812493796875003,24.965511000000003,93
45,25.023700640625,25.25430403125,105
52,25.450424671875002,25.668097031250003,83
57,25.661631515625,25.782321140625,120
57,25.864217671875,26.105596921875,118
55,26.271545156250003,26.346976171875003,85
55,26.478441656250002,26.730596765625002,120
52,26.898700171875003,27.484906921875,122
